Прізвище,Ім'я,Побатькові,Стать,Дата народження,Посада,Місто проживання,Адреса,Телефон,Email
Цюпа,Михайлина,Іванівна,Жінка,2000-03-27 00:00:00,Підприємець,село Амвросій,"Бандура узвіз, 53, селище Володимир, 24654",908-46-99,viterlarysa@gov.ua
Перебийніс,Яків,Назарович,Чоловік,1949-07-21 00:00:00,Гінеколог,місто Наталія,"Яценюк узвіз, 762, село Нестор, 09542",+38 499 933 40 75,gzharko@gov.ua
Гунько,Мирослав,Костянтинович,Чоловік,1991-10-24 00:00:00,Стропальник,село Дарина,"набережна Яценюк, 023, селище Євген, 99650",084 892-71-02,ielysavetaandreiko@gmail.com
Артюшенко,Миколай,Дмитрович,Чоловік,1999-10-16 00:00:00,Палеонтолог,село Амвросій,"майдан Панчук, 2, село Варфоломій, 65932",+38 343 868-05-13,lchubai@gerega-stelʹmakh.org
Сацюк,Марія,Вадимівна,Жінка,1967-12-04 00:00:00,Електрослюсар,селище Варфоломій,"майдан Салій, 823, село Ігор, 104329",+38 011 449-57-79,bohodar26@gov.ua
Барабаш,Олександр,Іванович,Чоловік,1959-05-19 00:00:00,Етнограф,селище Нестор,"набережна Демʼянюк, 1, село Василь, 23363",+38 256 471-84-20,holykanita@ishchak.org
Доценко,Святослав,Костянтинович,Чоловік,1994-11-25 00:00:00,Ветеринар,село Дарина,"провулок Оробець, 55, селище Вʼячеслав, 96228",025 287 87 32,fhavryliv@i.ua
Батюк,Сергій,Артемович,Чоловік,1959-07-02 00:00:00,Золотар,селище Павло,"майдан Стець, 503, хутір Анастасія, 69036",495 98 52,emasokha@gov.ua
Данькевич,Венедикт,Олегович,Чоловік,1979-05-10 00:00:00,Музикант,селище Пріска,"провулок Твердохліб, 735, селище Гордій, 52757",+38 206 540 28 97,khrystyna11@shutʹko.com
Колодуб,Ганна,Олегівна,Жінка,1965-03-01 00:00:00,Будник,місто Данило,"Ільченко узвіз, 080, хутір Андрій, 108813",+38 392 873 59 65,rsamoilenko@lesyk-lutsenko.укр
Даниленко,Віра,Петрівна,Жінка,1958-05-10 00:00:00,Льотчик,село Юхим,"Заєць узвіз, 806, село Леонід, 16000",+38 719 962 47 93,snizhanasimashkevych@ivanchenko.net
Адамчук,Едуард,Анатолійович,Чоловік,1967-07-26 00:00:00,Петрограф,місто Амалія,"бульвар Данько, 4, селище Ірина, 27304",032 748-07-24,ivanskoryk@ukr.net
Гук,Святослава,Дмитрівна,Жінка,1962-03-01 00:00:00,Музичний редактор,хутір Роман,"бульвар Доценко, 673, селище Василь, 12334",+38 087 473-66-75,nlytvyn@gmail.com
Фаренюк,Камілла,Костянтинівна,Жінка,1972-11-16 00:00:00,Фермер,хутір Алла,"провулок Засядько, 43, місто Степан, 47174",+38 (943) 639-67-50,perebyinisoksana@i.ua
Матвієнко,Юстина,Вікторівна,Жінка,1977-11-22 00:00:00,Електромонтажник,село Володимир,"Шеремет узвіз, 24, хутір Валентина, 42285",+38 180 329-00-66,baranetsʹroman@tovstolis.укр
Микитюк,Людмила,Олександрівна,Жінка,1945-11-26 00:00:00,Електрик,місто Роксолана,"Гайденко узвіз, 265, хутір Богданна, 59894",149-25-53,drobʼiazkosemen@i.ua
Ґереґа,Борислав,Петрович,Чоловік,1946-11-20 00:00:00,Каскадер,село Аніта,"провулок Чаленко, 218, селище Станіслав, 88170",+38 (260) 879-15-68,kostiantyn86@gmail.com
Вітер,Лілія,Костянтинівна,Жінка,1954-01-26 00:00:00,Інженер,хутір Мирослав,"Шиян узвіз, 354, хутір Галина, 43480",+38 (650) 311-80-84,andriibaranyk@derkach.com
Ващук,Василина,Григорівна,Жінка,1965-10-17 00:00:00,Епідеміолог,селище Святослава,"провулок Копитко, 781, селище Олена, 12368",+38 468 822-02-07,marʼiana49@zhuravelʹ.org
Ващук,Захар,Григорович,Чоловік,1949-10-24 00:00:00,Археолог,місто Левко,"Рябовіл узвіз, 338, хутір Сніжана, 09443",024 033 45 76,tymofiiduplii@isaievych.укр
Полтавець,Микита,Михайлович,Чоловік,1977-05-12 00:00:00,Музикант,селище Болеслав,"бульвар Вітрук, 07, місто Климент, 109673",+38 476 116-11-90,nestordeineka@gov.ua
Вертипорох,Святослава,Артемівна,Жінка,1951-08-01 00:00:00,Актор,село Вікторія,"Вахній узвіз, 9, хутір Надія, 46431",396-24-61,myron15@gmail.com
Бевз,Максим,Олегович,Чоловік,1964-03-17 00:00:00,Прокурор,селище Захар,"набережна Аронець, 9, село Юхим, 44031",+38 (747) 860-15-38,odarkademʼianiuk@ivanenko.net
Ірванець,Марко,Володимирович,Чоловік,1957-01-11 00:00:00,Флорист,селище Орина,"Полтавець узвіз, 984, село Максим, 03951",070 402 70 96,pzinchenko@ukr.net
Височан,Святослав,Артемович,Чоловік,1963-07-13 00:00:00,Льотчик,місто Богодар,"вулиця Ковпак, 713, село Макар, 109342",020 778-93-85,liudmylahresʹ@ukr.net
Прокопович,Амалія,Георгіївна,Жінка,1975-12-03 00:00:00,Мікробіолог,селище Ірена,"Бабиченко узвіз, 4, хутір Панас, 99506",+38 637 090-74-31,rozaliiakozachenko@gmail.com
Артюшенко,Наталія,Вадимівна,Жінка,1949-07-16 00:00:00,Ювелір,селище Ірина,"Ісаєнко узвіз, 4, місто Єлисавета, 65048",027 186-54-38,violetta40@i.ua
Корсун,Веніямин,Георгійович,Чоловік,2000-08-10 00:00:00,Продюсер,місто Орест,"Шамрай узвіз, 44, місто Олекса, 109818",602 70 45,lemeshkoiosyp@romanenko.info
Цимбал,Онисим,Петрович,Чоловік,1984-05-11 00:00:00,Історик,місто Богданна,"Алексійчук узвіз, 85, хутір Ярослава, 17655",481 64 14,borobetsʹ@rudʹko-chumachenko.info
Іваничук,Олесь,Дмитрович,Чоловік,1999-10-30 00:00:00,Фармацевт,місто Степан,"проспект Андрейко, 047, хутір Зиновій, 75606",+38 (737) 064-52-31,ldeineko@meta.ua
Забара,Емілія,Костянтинівна,Жінка,2003-03-23 00:00:00,Письменник,місто Євген,"проспект Ґжицький, 472, місто Роксолана, 21139",+38 604 102 06 14,komardemʼian@gmail.com
Голик,Одарка,Назарівна,Жінка,1975-01-31 00:00:00,Агроном,селище Олекса,"провулок Вергун, 212, селище Ілля, 107507",037 565-02-15,barannykkyrylo@meta.ua
Шевченко,Богдан,Ільїч,Чоловік,1947-12-04 00:00:00,Художник,село Ада,"Тичина узвіз, 6, хутір Валентина, 38824",+38 (133) 378-16-58,bohuslavtsiutsiura@gov.ua
Яремчук,Альберт,Михайлович,Чоловік,2001-03-03 00:00:00,Драматург,місто Теодор,"майдан Власюк, 9, село Орина, 61628",494 04 12,odarkachervonenko@meta.ua
Влох,Ярема,Максимович,Чоловік,1965-08-18 00:00:00,Кінокритик,село Розалія,"Супруненко узвіз, 86, місто Адам, 18136",+38 025 344 62 05,gprytula@shvachka-nesterenko.info
Тягнибок,Владислав,Михайлович,Чоловік,1955-09-08 00:00:00,Ботанік,селище Валентин,"бульвар Дзюба, 33, хутір Дан, 52380",283-55-42,tarasenkorostyslav@akymenko.com
Рудик,Ольга,Олегівна,Жінка,1946-01-18 00:00:00,Промисловець,селище Мартин,"вулиця Андрієвич, 25, місто Борислав, 53385",072 875 62 69,haidenkoamvrosii@karpa.ua
Батіг,Анжела,Артемівна,Жінка,2003-04-23 00:00:00,Вчитель,хутір Марія,"Євтушенко узвіз, 580, хутір Максим, 39177",+38 528 125 34 61,lesʹieroshenko@email.ua
Ващук,Кирило,Данилович,Чоловік,1942-01-19 00:00:00,Антрополог,хутір Адам,"Михайличенко узвіз, 1, хутір Симон, 94166",011 985 38 70,kashchenkoalʹbert@kanivetsʹ.info
Дейнеко,Віолетта,Петрівна,Жінка,1950-09-28 00:00:00,Диригент,місто Болеслав,"майдан Якимчук, 5, село Венедикт, 25848",097 753 01 73,anitahaidenko@gmail.com
Приходько,Алла,Максимівна,Жінка,1973-06-28 00:00:00,Клоун,хутір Златослава,"Саченко узвіз, 49, селище Олег, 45727",+38 453 674-39-07,cazhazha@i.ua
Бабариченко,Леон,Григорович,Чоловік,1941-07-16 00:00:00,Кухар,село Дмитро,"майдан Прокопович, 4, хутір Златослава, 26971",012 290-82-22,iustyna17@email.ua
Бевз,Гордій,Петрович,Чоловік,1947-04-27 00:00:00,Кушнір,селище Ада,"Сірко узвіз, 1, село Валентина, 52182",031 672-22-02,pzinchenko@hrytsenko.ua
Єременко,Амалія,Олександрівна,Жінка,2004-05-08 00:00:00,Художник,селище Одарка,"майдан Конопленко, 1, селище Станіслав, 103741",029 226-75-70,artymyshynillia@adamchuk.org
Бабенко,Марʼяна,Артемівна,Жінка,1974-02-08 00:00:00,Економіст,місто Опанас,"Теличенко узвіз, 766, місто Варфоломій, 83426",940-49-04,zandroshchuk@ukr.net
Вернидуб,Ярема,Олександрович,Чоловік,1954-08-06 00:00:00,Візажист,селище Богодар,"провулок Онуфрієнко, 0, село Августин, 04709",062 466 21 23,rostyslav91@neporozhnii.укр
Годунок,Павло,Володимирович,Чоловік,1998-05-09 00:00:00,Ріелтор,хутір Аарон,"Верес узвіз, 740, селище Богдан, 36812",013 762 78 81,volodymyrvashchenko-zakharchenko@hoholʹ-yanovsʹkyi-panchuk.укр
Атрощенко,Степан,Вікторович,Чоловік,1944-12-26 00:00:00,Гінеколог,село Георгій,"Данильчук узвіз, 322, місто Юстина, 09612",+38 (704) 713-28-70,rizhakevych@email.ua
Твердохліб,Сергій,Олегович,Чоловік,1948-09-07 00:00:00,Ді-джей,хутір Опанас,"майдан Іщенко, 921, хутір Амвросій, 35536",515 95 33,semeniurchuk@gov.ua
Онуфрієнко,Іван,Георгійович,Чоловік,1972-03-23 00:00:00,Кінокритик,селище Євген,"провулок Верхола, 3, хутір Вʼячеслав, 35698",997 68 96,liashkookseniia@ukr.net
Христич,Пилип,Назарович,Чоловік,1988-03-11 00:00:00,Клоун,хутір Станіслав,"Жадан узвіз, 181, селище Маруся, 03030",063 988 49 81,nataliiakomar@poltavetsʹ-olifirenko.info
Адамчук,Людмила,Григорівна,Жінка,1988-06-24 00:00:00,Каскадер,місто Христина,"Адамчук узвіз, 0, хутір Ірина, 58458",095 379 78 01,gzaika@yatsenko.com
Павличенко,Надія,Дмитрівна,Жінка,1958-05-12 00:00:00,Диригент,хутір Марʼяна,"бульвар Доценко, 201, хутір Климент, 26089",+38 228 891-79-34,qtokar@ukr.net
Ярош,Сніжана,Олегівна,Жінка,1945-09-14 00:00:00,Юрист,село Устим,"проспект Абрамчук, 616, місто Симон, 94795",+38 (743) 192-85-30,semennesterenko@email.ua
Годунок,Богуслава,Максимівна,Жінка,1950-04-07 00:00:00,Модельєр,селище Світлана,"Гавриленко узвіз, 975, селище Маруся, 99492",888-63-96,kiaremchuk@prykhodʹko.com
Бандера,Євген,Анатолійович,Чоловік,1939-02-22 00:00:00,Сантехнік,місто Олександр,"Бездітко узвіз, 630, село Михайло, 58064",837-86-21,arsen09@neporozhnii-averchenko.info
Бабійчук,Богодар,Назарович,Чоловік,1998-02-12 00:00:00,Хімік,селище Віталій,"Нестеренко узвіз, 7, село Орест, 49067",+38 108 854 98 34,lizazakharenko@isaievych.укр
Притула,Аврелій,Вікторович,Чоловік,1989-12-26 00:00:00,Мікробіолог,селище Мілена,"набережна Рябошапка, 875, місто Лілія, 21606",177-55-43,liudmyla12@gmail.com
Височан,Єлисавета,Михайлівна,Жінка,2007-02-28 00:00:00,Стиліст,село Галина,"майдан Гаврилів, 8, селище Мартин, 74957",004 956-72-72,shvachkodemyd@durdynetsʹ-gerega.net
Швачка,Устим,Володимирович,Чоловік,1993-10-16 00:00:00,Прокурор,хутір Климент,"Дашенко узвіз, 60, селище Євген, 14356",480-85-64,andrii71@zasukha.ua
Гуцуляк,Григорій,Костянтинович,Чоловік,1966-05-21 00:00:00,Мікробіолог,селище Онисим,"Сірко узвіз, 866, хутір Азар, 74923",049-89-80,ikozak@deineko.com
Яремків,Леопольд,Данилович,Чоловік,1985-07-27 00:00:00,Медик,місто Віра,"Забарний узвіз, 161, селище Єва, 107325",+38 459 137-88-36,bandrusenko@chuiko.укр
Шморгун,Аврелій,Володимирович,Чоловік,2001-04-20 00:00:00,Менеджер,місто Пилип,"вулиця Верховинець, 99, місто Олена, 57407",375-86-66,vasylyna12@gov.ua
Джус,Леонід,Григорович,Чоловік,1978-08-01 00:00:00,Літературознавець,село Августин,"бульвар Ніколюк, 17, селище Антон, 37895",186-62-60,valeriiromanetsʹ@email.ua
